,institution,us_region,acs_trauma_region,specialty,years_in_practice,leadership,question_id,question_text,question_category,question_keyword,num_response,text_response
1178,ucsf,West,9,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Bariatric/Minimally Invasive Surgery",16,,Q6.1,comments,comments,comments,,
1179,ucsf,West,9,Pediatric Surgery,1,,Q6.1,comments,comments,comments,,
1180,ucsf,West,9,"Acute Care Surgery/Emergency General Surgery,Trauma Surgery/Critical Care",,,Q6.1,comments,comments,comments,,
1181,ucsf,West,9,Breast Surgery,15,,Q6.1,comments,comments,comments,,
1182,ucsf,West,9,Vascular Surgery,1,,Q6.1,comments,comments,comments,,
1183,ucsf,West,9,Vascular Surgery,17,,Q6.1,comments,comments,comments,This is great - would love to help as possible. I hope we can get this launched at all campuses/sites. ,This is great - would love to help as possible. I hope we can get this launched at all campuses/sites. 
1184,ucsf,West,9,Pediatric Surgery,16,,Q6.1,comments,comments,comments,,
1185,ucsf,West,9,"Abdominal Wall/Hernia Surgery,Bariatric/Minimally Invasive Surgery",15,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
1186,ucsf,West,9,Other,37,,Q6.1,comments,comments,comments,You left out plastic surgery ,You left out plastic surgery 
1187,ucsf,West,9,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Bariatric/Minimally Invasive Surgery,Breast Surgery,Colon and Rectal Surgery,Endocrine Surgery,Hepatopancreaticobiliary Surgery,Pediatric Surgery,Surgical Oncology,Thoracic Surgery,Trauma Surgery/Critical Care",18,,Q6.1,comments,comments,comments,,
1188,ucsf,West,9,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Bariatric/Minimally Invasive Surgery,Hepatopancreaticobiliary Surgery",25,,Q6.1,comments,comments,comments,Save the environment ,Save the environment 
1189,ucsf,West,9,"Abdominal Wall/Hernia Surgery,Hepatopancreaticobiliary Surgery",28,,Q6.1,comments,comments,comments,"Lack of knowledge here. 
Maybe a fact sheet with 3 compelling facts, a la 

Did You Know?… the MB OR produces more carbon per year than …. ( the average Prius or whatever)

Placed in the anesthesia and staff lounges, bathroom stalls etc?","Lack of knowledge here. 
Maybe a fact sheet with 3 compelling facts, a la 

Did You Know?… the MB OR produces more carbon per year than …. ( the average Prius or whatever)

Placed in the anesthesia and staff lounges, bathroom stalls etc?"
1190,ucsf,West,9,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Bariatric/Minimally Invasive Surgery",11,,Q6.1,comments,comments,comments,,
1191,ucsf,West,9,"Hepatopancreaticobiliary Surgery,Transplant Surgery",28,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
1192,ucsf,West,9,Trauma Surgery/Critical Care,8,,Q6.1,comments,comments,comments,"Our operating room carbon footprint is important, but a much lower priority for the majority of us who are working in understaffed divisions and/or can’t get adequate access to the OR. ","Our operating room carbon footprint is important, but a much lower priority for the majority of us who are working in understaffed divisions and/or can’t get adequate access to the OR. "
1193,ucsf,West,9,Trauma Surgery/Critical Care,20,,Q6.1,comments,comments,comments,,
1194,ucsf,West,9,Breast Surgery,9,,Q6.1,comments,comments,comments,,
1195,ucsf,West,9,Colon and Rectal Surgery,23,,Q6.1,comments,comments,comments,,
1196,ucsf,West,9,"Breast Surgery,Pediatric Surgery,Trauma Surgery/Critical Care,Other",15,,Q6.1,comments,comments,comments,,
1197,ucsf,West,9,"Abdominal Wall/Hernia Surgery,Breast Surgery,Other",10,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
1198,ucsf,West,9,Pediatric Surgery,11,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
1199,ucsf,West,9,Hepatopancreaticobiliary Surgery,46,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
1200,ucsf,West,9,Cardiac Surgery,21,,Q6.1,comments,comments,comments,,
1201,ucsf,West,9,Endocrine Surgery,20,,Q6.1,comments,comments,comments,"One concern I have with reusable ligasure or such are the blunting of cutting devices with repeated use. Maybe there could be some guidelines of reusing an instrument vs discarding it by how long it was used the first time, and maybe no longer than two or three short uses max. ","One concern I have with reusable ligasure or such are the blunting of cutting devices with repeated use. Maybe there could be some guidelines of reusing an instrument vs discarding it by how long it was used the first time, and maybe no longer than two or three short uses max. "
1202,ucsf,West,9,Thoracic Surgery,5,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
1203,ucsf,West,9,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Breast Surgery,Colon and Rectal Surgery,Endocrine Surgery,Hepatopancreaticobiliary Surgery,Pediatric Surgery,Surgical Oncology,Thoracic Surgery,Trauma Surgery/Critical Care",40,Sustainability Director (or Coordinator),Q6.1,comments,comments,comments,"Looking forward with receiving the results and overall plan moving forward.
JM Betts","Looking forward with receiving the results and overall plan moving forward.
JM Betts"
1204,ucsf,West,9,"Abdominal Wall/Hernia Surgery,Other",5,,Q6.1,comments,comments,comments,,
1205,ucsf,West,9,Endocrine Surgery,16,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
1206,ucsf,West,9,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Colon and Rectal Surgery,Hepatopancreaticobiliary Surgery,Surgical Oncology",2,,Q6.1,comments,comments,comments,"Preference cards, if designed appropriately, can reduce the number of items opened and wasted. If I know that I will likely only need a major tray if a diagnostic laparoscopy is negative, I can ask to just have 2 ports and a minor set available till the decision is made to open and go ahead with a major resection. ","Preference cards, if designed appropriately, can reduce the number of items opened and wasted. If I know that I will likely only need a major tray if a diagnostic laparoscopy is negative, I can ask to just have 2 ports and a minor set available till the decision is made to open and go ahead with a major resection. "
1207,ucsf,West,9,"Acute Care Surgery/Emergency General Surgery,Trauma Surgery/Critical Care",3,,Q6.1,comments,comments,comments,,
1208,ucsf,West,9,Pediatric Surgery,7,,Q6.1,comments,comments,comments,,
1209,ucsf,West,9,"Acute Care Surgery/Emergency General Surgery,Trauma Surgery/Critical Care",15,,Q6.1,comments,comments,comments,,
1210,ucsf,West,9,Pediatric Surgery,44,,Q6.1,comments,comments,comments,,
1211,ucsf,West,9,Endocrine Surgery,24,,Q6.1,comments,comments,comments,,
1212,ucsf,West,9,Pediatric Surgery,16,,Q6.1,comments,comments,comments,,
1213,ucsf,West,9,Thoracic Surgery,5,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
1214,ucsf,West,9,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Bariatric/Minimally Invasive Surgery",15,,Q6.1,comments,comments,comments,,
1215,ucsf,West,9,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Bariatric/Minimally Invasive Surgery,Breast Surgery,Colon and Rectal Surgery,Endocrine Surgery,Hepatopancreaticobiliary Surgery,Pediatric Surgery,Plastics Surgery,Surgical Oncology,Thoracic Surgery,Trauma Surgery/Critical Care",18,,Q6.1,comments,comments,comments,,
1433,und,Midwest,8,Surgical Oncology,10,,Q6.1,comments,comments,comments,,
1434,und,Midwest,8,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Trauma Surgery/Critical Care",30,,Q6.1,comments,comments,comments,,
1435,und,Midwest,8,Thoracic Surgery,23,Department Chair,Q6.1,comments,comments,comments,"In my opinion barriers to reduce open items or scrub table waste (eg unused instruments) come from surgeons demanding to have things open ""just in case"", even when rarely used.","In my opinion barriers to reduce open items or scrub table waste (eg unused instruments) come from surgeons demanding to have things open ""just in case"", even when rarely used."
1436,und,Midwest,8,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Colon and Rectal Surgery",12,,Q6.1,comments,comments,comments,,
1437,und,Midwest,8,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Trauma Surgery/Critical Care",40,,Q6.1,comments,comments,comments,,
1438,und,Midwest,8,Acute Care Surgery/Emergency General Surgery,5,,Q6.1,comments,comments,comments,,
1439,und,Midwest,8,"Acute Care Surgery/Emergency General Surgery,Trauma Surgery/Critical Care",15,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
2153,lahey,Northeast,1,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Bariatric/Minimally Invasive Surgery,Endocrine Surgery",32,,Q6.1,comments,comments,comments,,
2154,lahey,Northeast,1,"Acute Care Surgery/Emergency General Surgery,Trauma Surgery/Critical Care",,,Q6.1,comments,comments,comments,,
2155,lahey,Northeast,1,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Bariatric/Minimally Invasive Surgery,Colon and Rectal Surgery",6,,Q6.1,comments,comments,comments,,
2156,lahey,Northeast,1,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Trauma Surgery/Critical Care",15,,Q6.1,comments,comments,comments,"major barrier is institutional culture, at large, and in each department","major barrier is institutional culture, at large, and in each department"
2157,lahey,Northeast,1,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Bariatric/Minimally Invasive Surgery",22,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,"I think that dedicated recycling programs where there are financial incentives to the hospital are the only thing that would work in our setting.  
my concern about changing practice is that there are so many factors involved in good patient outcome, that doing anything that is perceived as potentially inferior will not be supported.
However, if we can take all the paper/packaging/plastic etc and recycle it, that would not require a significant change in our practice.","I think that dedicated recycling programs where there are financial incentives to the hospital are the only thing that would work in our setting.  
my concern about changing practice is that there are so many factors involved in good patient outcome, that doing anything that is perceived as potentially inferior will not be supported.
However, if we can take all the paper/packaging/plastic etc and recycle it, that would not require a significant change in our practice."
2158,lahey,Northeast,1,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Bariatric/Minimally Invasive Surgery,Colon and Rectal Surgery",3,,Q6.1,comments,comments,comments,,
2159,lahey,Northeast,1,Vascular Surgery,35,Department Chair,Q6.1,comments,comments,comments,,
2160,lahey,Northeast,1,Vascular Surgery,30,,Q6.1,comments,comments,comments,,
2161,lahey,Northeast,1,Colon and Rectal Surgery,25,Department Chair,Q6.1,comments,comments,comments,,
2162,lahey,Northeast,1,Vascular Surgery,12,,Q6.1,comments,comments,comments,,
2163,lahey,Northeast,1,Vascular Surgery,3,,Q6.1,comments,comments,comments,,
2164,lahey,Northeast,1,Vascular Surgery,30,"Department Chair,Program Director (or Assistant Program Director)",Q6.1,comments,comments,comments,,
2165,lahey,Northeast,1,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Breast Surgery,Endocrine Surgery,Surgical Oncology",,,Q6.1,comments,comments,comments,,
2166,lahey,Northeast,1,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Trauma Surgery/Critical Care",10,,Q6.1,comments,comments,comments,,
2167,lahey,Northeast,1,Colon and Rectal Surgery,10,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
2168,lahey,Northeast,1,"Acute Care Surgery/Emergency General Surgery,Trauma Surgery/Critical Care",31,,Q6.1,comments,comments,comments,,
2169,lahey,Northeast,1,Transplant Surgery,3,,Q6.1,comments,comments,comments,,
2170,lahey,Northeast,1,Breast Surgery,9,,Q6.1,comments,comments,comments,,
2171,lahey,Northeast,1,"Abdominal Wall/Hernia Surgery,Bariatric/Minimally Invasive Surgery",40,,Q6.1,comments,comments,comments,,
2172,lahey,Northeast,1,Hepatopancreaticobiliary Surgery,25,Department Chair,Q6.1,comments,comments,comments,,
2173,lahey,Northeast,1,Vascular Surgery,30,"Department Chair,Program Director (or Assistant Program Director)",Q6.1,comments,comments,comments,,
2174,lahey,Northeast,1,Vascular Surgery,30,,Q6.1,comments,comments,comments,,
2175,lahey,Northeast,1,Colon and Rectal Surgery,3,,Q6.1,comments,comments,comments,,
3664,washu,Midwest,7,Colon and Rectal Surgery,20,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
3665,washu,Midwest,7,Colon and Rectal Surgery,3,,Q6.1,comments,comments,comments,,
3666,washu,Midwest,7,Cardiac Surgery,1,,Q6.1,comments,comments,comments,,
3667,washu,Midwest,7,Breast Surgery,17,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
3668,washu,Midwest,7,Abdominal Wall/Hernia Surgery,8,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
3669,washu,Midwest,7,Trauma Surgery/Critical Care,5,,Q6.1,comments,comments,comments,,
3670,washu,Midwest,7,Thoracic Surgery,,,Q6.1,comments,comments,comments,,
3671,washu,Midwest,7,Colon and Rectal Surgery,,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
3672,washu,Midwest,7,Trauma Surgery/Critical Care,2,,Q6.1,comments,comments,comments,very excited to see what comes of this.  OR waste drives me nuts from a cost perspective already and we could help so much with some minimal changes,very excited to see what comes of this.  OR waste drives me nuts from a cost perspective already and we could help so much with some minimal changes
3673,washu,Midwest,7,Pediatric Surgery,20,,Q6.1,comments,comments,comments,,
3674,washu,Midwest,7,Vascular Surgery,32,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
3675,washu,Midwest,7,Trauma Surgery/Critical Care,7,,Q6.1,comments,comments,comments,,
3676,washu,Midwest,7,"Acute Care Surgery/Emergency General Surgery,Trauma Surgery/Critical Care",5,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
3677,washu,Midwest,7,Vascular Surgery,8,,Q6.1,comments,comments,comments,,
3678,washu,Midwest,7,Endocrine Surgery,4,,Q6.1,comments,comments,comments,,
3679,washu,Midwest,7,"Acute Care Surgery/Emergency General Surgery,Trauma Surgery/Critical Care",23,,Q6.1,comments,comments,comments,,
3680,washu,Midwest,7,Pediatric Surgery,5,,Q6.1,comments,comments,comments,,
3681,washu,Midwest,7,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery,Colon and Rectal Surgery",28,,Q6.1,comments,comments,comments,,
3682,washu,Midwest,7,Bariatric/Minimally Invasive Surgery,26,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
3683,washu,Midwest,7,Endocrine Surgery,23,,Q6.1,comments,comments,comments,Thanks,Thanks
3684,washu,Midwest,7,Thoracic Surgery,25,,Q6.1,comments,comments,comments,"Eager to make a change here. It is easy to see areas for others to improve: single use bronchoscope, single use laryngoscope. It is much harder to do this in away that impacts our own choices. We should be doing more here!!","Eager to make a change here. It is easy to see areas for others to improve: single use bronchoscope, single use laryngoscope. It is much harder to do this in away that impacts our own choices. We should be doing more here!!"
3685,washu,Midwest,7,"Breast Surgery,Surgical Oncology",20,,Q6.1,comments,comments,comments,,
3686,washu,Midwest,7,Bariatric/Minimally Invasive Surgery,14,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
3687,washu,Midwest,7,Bariatric/Minimally Invasive Surgery,7,,Q6.1,comments,comments,comments,,
3688,washu,Midwest,7,Trauma Surgery/Critical Care,1,,Q6.1,comments,comments,comments,,
3689,washu,Midwest,7,Hepatopancreaticobiliary Surgery,20,,Q6.1,comments,comments,comments,,
3690,washu,Midwest,7,Vascular Surgery,23,,Q6.1,comments,comments,comments,"Did entire residency with reusable gowns, worked at VAMC with reusable gowns. The problem with current systems management is that surgeons are not positively incentivized. Financial incentives will be key to sustained participation. ""Money in your pocket"" wins out over ""save the polar bears"".","Did entire residency with reusable gowns, worked at VAMC with reusable gowns. The problem with current systems management is that surgeons are not positively incentivized. Financial incentives will be key to sustained participation. ""Money in your pocket"" wins out over ""save the polar bears""."
3691,washu,Midwest,7,"Abdominal Wall/Hernia Surgery,Acute Care Surgery/Emergency General Surgery",3,,Q6.1,comments,comments,comments,,
3692,washu,Midwest,7,Colon and Rectal Surgery,10,Program Director (or Assistant Program Director),Q6.1,comments,comments,comments,,
